Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
09-02-2019,00 - 01,"47,73","47,73","47,73","47,73","46,57","46,57","46,57","46,57","47,73","47,73","46,57","46,57","46,57","46,57","46,57","46,57","46,57","46,57","46,57","46,57","0,02","-13,26","0,02","0,02"
09-02-2019,01 - 02,"47,24","47,24","47,24","47,24","45,91","45,91","45,91","45,91","47,24","47,24","45,91","45,91","45,91","45,91","45,91","45,91","45,91","45,91","45,91","45,91","0,08","-12,06","0,08","0,08"
09-02-2019,02 - 03,"47,11","47,11","47,11","47,11","45,02","45,02","45,02","45,02","47,11","47,11","45,02","45,02","45,02","45,02","45,02","45,02","45,02","45,02","45,02","45,02","-4,09","-17,42","-4,09","-4,09"
09-02-2019,03 - 04,"47,05","47,05","47,05","47,05","44,69","44,69","44,69","44,69","47,05","47,05","44,69","44,69","44,69","44,69","44,69","44,69","44,69","44,69","44,69","44,69",-4,-4,-4,-4
09-02-2019,04 - 05,"47,04","47,04","47,04","47,04","45,59","45,59","45,59","45,59","47,04","47,04","45,59","45,59","45,59","45,59","45,59","45,59","45,59","45,59","45,59","45,59","0,06","-17,42","0,06","0,06"
09-02-2019,05 - 06,"46,99","46,99","46,99","46,99","46,43","46,43","46,43","46,43","46,99","46,99","46,43","46,43","46,43","46,43","46,43","46,43","46,43","46,43","46,43","46,43","0,09","0,09","0,09","0,09"
09-02-2019,06 - 07,"47,31","47,31","47,31","47,31","45,98","45,98","45,98","45,98","47,31","47,31","45,98","45,98","45,98","45,98","45,98","45,98","45,98","45,98","45,98","45,98","0,05","0,05","0,05","0,05"
09-02-2019,07 - 08,"47,23",43,"47,23",43,"46,54",43,"46,54",43,"47,23",43,"46,54",43,"46,54",43,"46,54",43,"46,54",43,"46,54",43,"6,37","6,37","6,37","6,37"
09-02-2019,08 - 09,"47,24",43,"47,24",43,"46,63",43,"46,63",43,"47,24",43,"46,63",43,"46,63",43,"46,63",43,"46,63",43,"46,63",43,"12,08","12,08","12,08","12,08"
09-02-2019,09 - 10,"48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","48,17","43,4","11,18","11,18","11,18","11,18"
09-02-2019,10 - 11,"48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","48,7","46,5","10,64","10,64","25,29","25,29"
09-02-2019,11 - 12,"48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","48,64","45,1","4,12","4,12","11,56","11,56"
09-02-2019,12 - 13,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"48,36",45,"0,05","0,05","11,22","11,22"
09-02-2019,13 - 14,"47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","47,82","44,82","-0,1","-0,1","11,07","11,07"
09-02-2019,14 - 15,"47,59","45,5","47,59","45,5","47,22","45,5","47,22","45,5","47,59","45,5","47,22","45,5","47,22","45,5","47,22","45,5","47,22","45,5","47,22","45,5","-2,05","-2,05","4,92","4,92"
09-02-2019,15 - 16,"47,59","45,5","47,59","45,5","47,01","45,5","47,01","45,5","47,59","45,5","47,01","45,5","47,01","45,5","47,01","45,5","47,01","45,5","47,01","45,5","0,09","0,09","4,96","4,96"
09-02-2019,16 - 17,"48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","48,12","45,5","9,64","9,64","11,61","11,61"
09-02-2019,17 - 18,"49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","49,4","45,5","26,97","26,97","36,27","36,27"
09-02-2019,18 - 19,"49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","49,35","36,17","36,17","36,17","36,17"
09-02-2019,19 - 20,"48,41","48,41","48,41","48,41","47,51","47,51","47,51","47,51","48,41","48,41","47,51","47,51","47,51","47,51","47,51","47,51","47,51","47,51","47,51","47,51","25,97","25,97","25,97","25,97"
09-02-2019,20 - 21,48,48,48,48,"46,13","46,13","46,13","46,13",48,48,"45,91","45,91","45,91","45,91","45,91","45,91","45,91","45,91","45,91","45,91","16,96","16,96","16,96","16,96"
09-02-2019,21 - 22,"47,46","47,46","47,46","47,46","46,67","46,67","46,67","46,67","47,46","47,46","46,67","46,67","46,67","46,67","46,67","46,67","46,67","46,67","46,67","46,67","0,09","0,09","0,09","0,09"
09-02-2019,22 - 23,"49,6","47,83","49,6","47,83","49,6","46,65","49,6","46,65","49,6","47,83","49,6","46,65","49,6","46,65","49,6","46,65","49,6","46,65","49,6","46,65","12,91","12,91","49,6","12,91"
09-02-2019,23 - 00,"49,6","47,7","49,6","47,7","49,6","46,19","49,6","46,19","49,6","47,7","49,6","46,19","49,6","46,19","49,6","46,19","49,6","46,19","49,6","46,19","0,09","0,09","49,6","0,09"
10-02-2019,00 - 01,"49,5","47,06","49,5","47,06","49,5","44,29","49,5","44,29","49,5","47,06","49,5","44,12","49,5","44,12","49,5","44,12","49,5","44,12","49,5","44,12","11,43","11,43","49,5","22,88"
10-02-2019,01 - 02,"49,5","46,39","49,5","46,39","49,5","44,09","49,5","44,09","49,5","46,39","49,5","42,25","49,5","42,25","49,5","42,25","49,5","42,25","49,5","42,25","16,16","16,16","49,5","16,16"
10-02-2019,02 - 03,"48,51","46,34","48,51","46,34","48,51","43,8","48,51","43,8","48,51","46,34","48,51","40,85","48,51","40,85","48,51","40,85","48,51","40,85","48,51","40,85","16,02","16,02","48,51","16,02"
10-02-2019,03 - 04,"49,02","46,31","49,02","46,31","43,2","43,2","43,2","43,2","49,02","46,31","40,3","40,3","40,3","40,3","40,3","40,3","40,3","40,3","40,3","40,3","12,45","12,45","12,45","12,45"
10-02-2019,04 - 05,"49,02","46,29","49,02","46,29","43,29","30,64","43,29","30,64","49,02","46,29","41,27","30,64","41,27","30,64","41,27","30,64","41,27","30,64","41,27","30,64","10,19","-13,13","10,19","-13,13"
10-02-2019,05 - 06,"49,02","46,29","49,02","46,29","44,08","30,64","44,08","30,64","49,02","46,29","43,42","30,64","43,42","30,64","43,42","30,64","43,42","30,64","43,42","30,64","14,51","-18,76","14,51","-18,76"
10-02-2019,06 - 07,"46,84","46,84","46,84","46,84",43,38,43,38,"46,84","46,84",43,38,43,38,43,38,43,38,43,38,"7,01","-17,42","7,01","-17,42"
10-02-2019,07 - 08,"46,7","41,87","46,7","41,87","44,06","41,87","44,06","41,87","46,7","41,87","44,06","41,87","44,06","41,87","44,06","41,87","44,06","41,87","44,06","41,87","10,98","10,98","10,98","10,98"
10-02-2019,08 - 09,"46,63","41,87","46,63","41,87","44,72","41,87","44,72","41,87","46,63","41,87","44,72","41,87","44,72","41,87","44,72","41,87","44,72","41,87","44,72","41,87","20,62","20,62","20,62","20,62"
10-02-2019,09 - 10,"47,15","43,5","47,15","43,5","44,97","43,5","44,97","43,5","47,15","43,5","44,97","43,5","44,97","43,5","44,97","43,5","44,97","43,5","44,97","43,5","32,95","32,95","44,97","43,5"
10-02-2019,10 - 11,"47,71","47,71","47,71","47,71","45,67","45,67","45,67","45,67","47,71","47,71","45,67","45,67","45,67","45,67","45,67","45,67","45,67","45,67","45,67","45,67","41,75","41,75","45,67","45,67"
10-02-2019,11 - 12,"47,77","43,91","47,77","43,91","46,07","43,91","46,07","43,91","47,77","43,91","46,07","43,91","46,07","43,91","46,07","43,91","46,07","43,91","46,07","43,91","46,07","43,91","46,07","43,91"
10-02-2019,12 - 13,"47,73","43,91","47,73","43,91","46,47","43,91","46,47","43,91","47,73","43,91","46,47","43,91","46,47","43,91","46,47","43,91","46,47","43,91","46,47","43,91","46,47","43,91","46,47","43,91"
10-02-2019,13 - 14,"47,09",44,"47,09",44,"46,82",44,"46,82",44,"47,09",44,"46,82",44,"46,82",44,"46,82",44,"46,82",44,"46,82",44,"46,82",44,"46,82",44
10-02-2019,14 - 15,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44,"46,9",44
10-02-2019,15 - 16,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44,"47,04",44
10-02-2019,16 - 17,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44,"48,21",44
10-02-2019,17 - 18,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44,"49,41",44
10-02-2019,18 - 19,"49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49","49,73","47,49"
10-02-2019,19 - 20,"49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42","49,48","44,42"
10-02-2019,20 - 21,"48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6","48,14","42,6"
10-02-2019,21 - 22,"47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4","47,25","42,4"
10-02-2019,22 - 23,"46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","46,62","42,4","41,65","41,65","46,62","42,4"
10-02-2019,23 - 00,"46,55","43,7","46,55","43,7","45,57","43,7","45,57","43,7","46,55","43,7","45,57","43,7","45,57","43,7","45,57","43,7","45,57","43,7","45,57","43,7","30,58","30,58","30,58","30,58"
11-02-2019,00 - 01,"46,54","43,91","46,54","43,91","45,93","43,91","45,93","43,91","46,54","43,91","45,93","43,91","45,93","43,91","45,93","43,91","45,93","43,91","45,93","43,91","31,57","31,57","31,57","31,57"
11-02-2019,01 - 02,"46,4","40,34","46,4","40,34","44,94","40,34","44,94","40,34","46,4","40,34","44,94","40,34","44,94","40,34","44,94","40,34","44,94","40,34","44,94","40,34","5,68","5,68","5,68","5,68"
11-02-2019,02 - 03,"46,4","39,32","46,4","39,32","44,44","39,32","44,44","39,32","46,4","39,32","44,44","39,32","44,44","39,32","44,44","39,32","44,44","39,32","44,44","39,32","-0,02","-0,02","-0,02","-0,02"
11-02-2019,03 - 04,"46,37","39,32","46,37","39,32","44,21","39,32","44,21","39,32","46,37","39,32","44,21","39,32","44,21","39,32","44,21","39,32","44,21","39,32","44,21","39,32","-2,01","-2,01","-2,01","-2,01"
11-02-2019,04 - 05,"46,2","37,78","46,2","37,78","44,78","37,78","44,78","37,78","46,2","37,78","44,78","37,78","44,78","37,78","44,78","37,78","44,78","37,78","44,78","37,78","0,01","0,01","5,09","5,09"
11-02-2019,05 - 06,"46,51",45,"46,51",45,"46,51",45,"46,51",45,"46,51",45,"46,51",45,"46,51",45,"46,51",45,"46,51",45,"51,08",45,"5,65","5,65","46,51",45
11-02-2019,06 - 07,"47,47","44,5","47,47","44,5","47,47","44,5","47,47","44,5","47,47","44,5","47,47","44,5","47,47","44,5","47,47","44,5","47,47","44,5","52,02","44,5","39,91","39,91","47,47","44,5"
11-02-2019,07 - 08,"49,04","46,6","49,04","46,6","49,04","46,6","49,04","46,6","49,04","46,6","49,04","46,6","49,04","46,6","49,04","46,6","49,04","46,6","53,39","46,6","49,04","46,6","49,04","46,6"
11-02-2019,08 - 09,"49,41","45,6","49,41","45,6","49,41","45,6","49,41","45,6","49,41","45,6","49,41","45,6","49,41","45,6","49,41","45,6","49,41","45,6","55,18","45,6","49,41","45,6","49,41","45,6"
11-02-2019,09 - 10,"48,44","45,6","48,44","45,6","48,44","45,6","48,44","45,6","48,44","45,6","48,44","45,6","48,44","45,6","48,44","45,6","48,44","45,6","55,39","45,6","44,99","44,99","48,44","45,6"
11-02-2019,10 - 11,"48,25","46,6","48,25","46,6","48,25","46,6","48,25","46,6","48,25","46,6","48,25","46,6","48,25","46,6","48,25","46,6","48,25","46,6","55,39","46,6","39,94","39,94","48,25","46,6"
11-02-2019,11 - 12,"47,98","45,95","47,98","45,95","47,98","45,95","47,98","45,95","47,98","45,95","47,98","45,95","47,98","45,95","47,98","45,95","47,98","45,95","52,41","45,95","38,73","38,73","47,98","45,95"
11-02-2019,12 - 13,"47,91","45,95","47,91","45,95","47,91","45,95","47,91","45,95","47,91","45,95","47,91","45,95","47,91","45,95","47,91","45,95","47,91","45,95","51,5","45,95","36,59","-16,08","47,91","45,95"
11-02-2019,13 - 14,"47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","47,71","54,61","54,61","38,54","-12,73","47,71","47,71"
11-02-2019,14 - 15,"47,54","45,95","47,54","45,95","47,54","45,95","47,54","45,95","47,54","45,95","47,54","45,95","47,54","45,95","47,54","45,95","47,54","45,95","54,98","45,95","38,66","-8,71","47,54","45,95"
11-02-2019,15 - 16,"47,5","45,95","47,5","45,95","47,5","45,95","47,5","45,95","47,5","45,95","47,5","45,95","47,5","45,95","47,5","45,95","47,5","45,95","53,22","45,95","38,86","-10,72","47,5","45,95"
11-02-2019,16 - 17,"47,67","45,95","47,67","45,95","47,67","45,95","47,67","45,95","47,67","45,95","47,67","45,95","47,67","45,95","47,67","45,95","47,67","45,95","53,49","45,95","38,61","-6,78","47,67","45,95"
11-02-2019,17 - 18,"51,06","46,47","51,06","46,47","51,06","46,47","51,06","46,47","51,06","46,47","51,06","46,47","51,06","46,47","51,06","46,47","51,06","46,47","55,53","46,47","48,11","-6,7","51,06","46,47"
11-02-2019,18 - 19,"51,06","48,51","51,06","48,51","51,06","48,51","51,06","48,51","51,06","48,51","51,06","48,51","51,06","48,51","51,06","48,51","51,06","48,51","55,51","55,51","48,51","-3,8","51,06","48,51"
11-02-2019,19 - 20,"48,73","45,44","48,73","45,44","48,73","45,44","48,73","45,44","48,73","45,44","48,73","45,44","48,73","45,44","48,73","45,44","48,73","45,44","51,23","45,44","48,73","45,44","48,73","45,44"
11-02-2019,20 - 21,"47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4","47,96","43,4"
11-02-2019,21 - 22,"47,28","43,4","47,28","43,4","47,06","43,4","47,06","43,4","47,28","43,4","47,06","43,4","47,06","43,4","47,06","43,4","47,06","43,4","47,06","43,4","41,27","-6,57","47,06","43,4"
11-02-2019,22 - 23,"47,5","43,91","47,5","43,91","45,21","43,91","45,21","43,91","47,5","43,91","45,21","43,91","45,21","43,91","45,21","43,91","45,21","43,91","45,21","43,91","45,19","45,19","45,21","43,91"
11-02-2019,23 - 00,"47,31","41,87","47,31","41,87","41,92","41,87","41,92","41,87","47,31","41,87","41,92","41,87","41,92","41,87","41,92","41,87","41,92","41,87","41,92","41,87","37,34","37,34","41,92","41,87"
12-02-2019,00 - 01,"46,41","41,27","46,41","41,27","40,69","40,69","40,69","40,69","46,41","41,27","40,69","40,69","40,69","40,69","40,69","40,69","40,69","40,69","40,69","40,69","37,29","-10,72","40,69","40,69"
12-02-2019,01 - 02,"46,25","41,78","46,25","41,78","39,89","39,89","39,89","39,89","46,25","41,78","39,89","39,89","39,89","39,89","39,89","39,89","39,89","39,89","39,89","39,89","32,8","32,8","38,01","38,01"
12-02-2019,02 - 03,"46,23","41,78","46,23","41,78","39,43","39,43","39,43","39,43","46,23","41,78","39,43","39,43","39,43","39,43","39,43","39,43","39,43","39,43","39,43","39,43","29,71","29,71","38,02","38,02"
12-02-2019,03 - 04,"46,21","41,27","46,21","41,27","39,86","39,86","39,86","39,86","46,21","41,27","39,86","39,86","39,86","39,86","39,86","39,86","39,86","39,86","39,86","39,86",31,31,"38,02","38,02"
12-02-2019,04 - 05,"45,93","42,8","45,93","42,8","43,31","42,8","43,31","42,8","45,93","42,8","43,31","42,8","43,31","42,8","43,31","42,8","43,31","42,8","43,31","42,8","36,08","36,08","43,31","42,8"
12-02-2019,05 - 06,"46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","46,31","40,02","40,02","46,31","46,31"
12-02-2019,06 - 07,"47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","47,9","48,27","48,27","46,44","46,44","47,9","47,9"
12-02-2019,07 - 08,"57,57","50,33","57,57","50,33","47,91","47,91","47,91","47,91","57,57","50,33","47,91","47,91","47,91","47,91","57,57","50,33","57,57","53,73","57,57","53,73","57,57","55,19","57,57","53,73"
12-02-2019,08 - 09,"57,06","52,02","57,06","52,02","48,53","41,2","48,53","41,2","57,06","52,02","48,53","41,2","48,53","41,2","57,06","52,02","57,06","53,72","57,06","53,72","57,06","54,91","57,06","54,91"
12-02-2019,09 - 10,"57,06","52,53","57,06","52,53","48,77","41,2","48,77","41,2","57,06","52,53","48,77","41,2","48,77","41,2","57,06","55,95","57,06","55,95","57,06","55,95","57,33","57,33","57,33","57,33"
12-02-2019,10 - 11,"51,89","51,89","51,89","51,89","48,48","42,4","48,48","42,4","51,89","51,89","48,48","42,4","48,48","42,4","54,32","54,32","54,32","54,32","54,32","54,32","55,66","55,66","55,66","55,66"
12-02-2019,11 - 12,"50,71","50,71","50,71","50,71","48,43","43,82","48,43","43,82","50,71","50,71","48,43","43,82","48,43","43,82","50,71","50,71","87,09","50,71","50,71","50,71","87,09","50,93","87,09","50,93"
12-02-2019,12 - 13,"50,02","44,84","50,02","44,84","48,59","43,82","48,59","43,82","50,02","44,84","48,59","43,82","48,59","43,82","50,02","44,84","50,02","44,84","50,02","44,84","50,02","44,84","50,02","44,84"
12-02-2019,13 - 14,"49,59","42,8","49,59","42,8","48,61","42,8","48,61","42,8","49,59","42,8","48,61","42,8","48,61","42,8","49,59","42,8","49,59","42,8","49,59","42,8","49,59","42,8","49,59","42,8"
12-02-2019,14 - 15,"49,98","43,31","49,98","43,31","48,48","43,31","48,48","43,31","49,98","43,31","48,48","43,31","48,48","43,31","49,98","43,31","49,98","43,31","52,04","43,31","49,98","43,31","49,98","43,31"
12-02-2019,15 - 16,"49,98",43,"49,98",43,"48,27",43,"48,27",43,"49,98",43,"48,27",43,"48,27",43,"49,98",43,"49,98",43,"51,86",43,"49,98",43,"49,98",43
12-02-2019,16 - 17,"50,31","44,33","50,31","44,33","48,45","44,33","48,45","44,33","50,31","44,33","48,45","44,33","48,45","44,33","50,31","44,33","51,57","44,33","53,02","44,33","50,31","44,33","51,57","44,33"
12-02-2019,17 - 18,"50,72","45,35","50,72","45,35","48,59","45,35","48,59","45,35","50,72","45,35","48,59","45,35","48,59","45,35","54,08","45,35","55,56","45,35","55,56","45,35","54,08","45,35","56,92","45,35"
12-02-2019,18 - 19,"50,5","45,35","50,5","45,35","48,87","45,35","48,87","45,35","50,5","45,35","48,87","45,35","48,87","45,35","50,5","45,35","59,02","45,35","56,39","45,35","57,61","45,35","60,47","45,35"
12-02-2019,19 - 20,"49,35",44,"49,35",44,"48,66",44,"48,66",44,"49,35",44,"48,66",44,"48,66",44,"49,35",44,"49,73",44,"49,35",44,"49,98",44,"49,73",44
12-02-2019,20 - 21,"47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","47,93","40,76","45,96","40,76","47,93","40,76"
12-02-2019,21 - 22,"47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","47,37","39,4","41,6","39,4","47,37","39,4"
12-02-2019,22 - 23,"46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","46,86","38,9","43,96","-6,43","46,86","38,9"
12-02-2019,23 - 00,"46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","46,1","34,2","41,51","-6,7","46,1","34,2"
13-02-2019,00 - 01,"44,93","34,19","44,93","34,19","43,78","34,19","43,78","34,19","44,93","34,19","43,78","34,19","43,78","34,19","43,78","34,19","43,78","34,19","43,78","34,19","34,14","34,14","34,14","34,14"
13-02-2019,01 - 02,"44,65",33,"44,65",33,"40,69",33,"40,69",33,"44,65",33,"40,69",33,"40,69",33,"40,69",33,"40,69",33,"40,69",33,"37,21",33,"37,21",33
13-02-2019,02 - 03,"44,62","32,71","44,62","32,71","40,06","32,71","40,06","32,71","44,62","32,71","40,06","32,71","40,06","32,71","40,06","32,71","40,06","32,71","40,06","32,71","36,29","-12,06","36,29","32,71"
13-02-2019,03 - 04,"44,62","32,71","44,62","32,71","39,71","32,71","39,71","32,71","44,62","32,71","39,71","32,71","39,71","32,71","39,71","32,71","39,71","32,71","39,71","32,71","33,31","-11,93","33,31","33,31"
13-02-2019,04 - 05,"44,58","32,71","44,58","32,71","41,28","32,71","41,28","32,71","44,58","32,71","41,28","32,71","41,28","32,71","41,28","32,71","41,28","32,71","41,28","32,71","37,58","-13,4","37,58","32,71"
13-02-2019,05 - 06,"44,58","34,7","44,58","34,7","43,29","30,62","43,29","30,62","44,58","34,7","43,29","30,62","43,29","30,62","43,29","30,62","43,29","30,62","49,41","30,62","35,34","-11,39","35,34","30,62"
13-02-2019,06 - 07,"45,84","38,8","45,84","38,8","45,84","38,8","45,84","38,8","45,84","38,8","45,84","38,8","45,84","38,8","45,84","38,8","45,84","38,8","52,32","38,8","45,84","-10,05","45,84","38,8"
13-02-2019,07 - 08,"47,79","40,32","47,79","40,32","47,21","40,32","47,21","40,32","47,79","40,32","47,21","40,32","47,21","40,32","47,79","40,32","47,79","40,32","53,22","40,32","50,19","40,32","50,19","40,32"
13-02-2019,08 - 09,"48,42","39,3","48,42","39,3","47,24","39,3","47,24","39,3","48,42","39,3","47,24","39,3","47,24","39,3","48,42","39,3","48,42","39,3","54,07","39,3","48,42","39,3","48,42","39,3"
13-02-2019,09 - 10,"47,33","38,79","47,33","38,79","47,25","38,79","47,25","38,79","47,33","38,79","47,25","38,79","47,25","38,79","47,33","38,79","47,33","38,79","54,07","38,79","47,33","38,79","47,33","38,79"
13-02-2019,10 - 11,"46,96","38,79","46,96","38,79","46,96","38,79","46,96","38,79","46,96","38,79","46,96","38,79","46,96","38,79","46,96","38,79","46,96","38,79","52,54","39,5","46,96","38,79","46,96","38,79"
13-02-2019,11 - 12,"46,66","37,6","46,66","37,6","46,66","37,6","46,66","37,6","46,66","37,6","46,66","37,6","46,66","37,6","46,66","37,6","46,66","37,6","49,15","37,6","46,66","37,6","46,66","37,6"
13-02-2019,12 - 13,"46,14","37,6","46,14","37,6","46,14","37,6","46,14","37,6","46,14","37,6","46,14","37,6","46,14","37,6","46,14","37,6","46,14","37,6","51,24","37,6","46,14","37,6","46,14","37,6"
13-02-2019,13 - 14,"46,15",36,"46,15",36,"46,15",36,"46,15",36,"46,15",36,"46,15",36,"46,15",36,"46,15",36,"46,15",36,"49,77",36,"46,15",36,"46,15",36
13-02-2019,14 - 15,"46,3",37,"46,3",37,"46,3",37,"46,3",37,"46,3",37,"46,3",37,"46,3",37,"46,3",37,"46,3",37,"49,99",37,"46,3",37,"46,3",37
13-02-2019,15 - 16,"46,82",39,"46,82",39,"46,74",39,"46,74",39,"46,82",39,"46,74",39,"46,74",39,"46,82",39,"46,82",39,"47,43",39,"46,82",39,"46,82",39
13-02-2019,16 - 17,"47,88","40,32","47,88","40,32","46,72","40,32","46,72","40,32","47,88","40,32","46,72","40,32","46,72","40,32","47,88","40,32","47,88","40,32","51,01","40,32","47,88","40,32","47,88","40,32"
13-02-2019,17 - 18,"48,58","40,32","48,58","40,32","46,9","40,32","46,9","40,32","48,58","40,32","46,9","40,32","46,9","40,32","48,58","40,32","88,86","40,32","54,37","40,83","48,58","40,32","88,86","40,32"
13-02-2019,18 - 19,"48,89","40,83","48,89","40,83","46,99","40,83","46,99","40,83","48,89","40,83","46,99","40,83","46,99","40,83","48,89","40,83","95,98","53,52","53,52","42,87","48,89","40,83","95,98","53,52"
13-02-2019,19 - 20,"48,56",40,"48,56",40,"46,97",40,"46,97",40,"48,56",40,"46,97",40,"46,97",40,"48,56",40,"48,56",40,"48,56",40,"48,56",40,"48,56",40
13-02-2019,20 - 21,"47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7","47,55","39,7"
13-02-2019,21 - 22,"46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32","46,42","40,32"
13-02-2019,22 - 23,"45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","45,97","40,32","46,43","40,32","45,97","40,32"
13-02-2019,23 - 00,"44,26","41,85","44,26","41,85","43,62","41,85","43,62","41,85","44,26","41,85","43,62","41,85","43,62","41,85","43,62","41,85","43,62","41,85","43,62","41,85","43,16","41,85","43,62","41,85"
14-02-2019,00 - 01,"43,16","40,94","43,16","40,94","41,75","40,94","41,75","40,94","43,16","40,94","41,75","40,94","41,75","40,94","41,75","40,94","41,75","40,94","41,75","40,94","40,74","40,74","41,75","40,94"
14-02-2019,01 - 02,"43,05","39,5","43,05","39,5","40,12","39,5","40,12","39,5","43,05","39,5","40,12","39,5","40,12","39,5","40,12","39,5","40,12","39,5","40,12","39,5","39,15","39,15","39,15","39,15"
14-02-2019,02 - 03,43,"39,5",43,"39,5","39,85","39,5","39,85","39,5",43,"39,5","39,85","39,5","39,85","39,5","39,85","39,5","39,85","39,5","39,85","39,5","38,64","38,64","39,85","39,5"
14-02-2019,03 - 04,"42,99","39,5","42,99","39,5","40,6","39,5","40,6","39,5","42,99","39,5","40,6","39,5","40,6","39,5","40,6","39,5","40,6","39,5","40,6","39,5",39,39,"40,6","39,5"
14-02-2019,04 - 05,43,"39,41",43,"39,41",43,"39,41",43,"39,41",43,"39,41",43,"39,41",43,"39,41",43,"39,41",43,"39,41",43,"39,41","38,47","38,47",43,"39,41"
14-02-2019,05 - 06,"44,49","39,41","44,49","39,41","44,49","39,41","44,49","39,41","44,49","39,41","44,49","39,41","44,49","39,41","44,49","39,41","44,49","39,41","45,77","39,41","43,04","39,41","44,49","39,41"
